audio_file,transcription
audio1-113.wav,وبعد اهما مجموعه من الناس الي بيشتغلون مع بعض عشان يجيبون فلوس عشان يحققون profit
audio1-114.wav,اوكيه ؟
audio1-115.wav,فمن جذي الـ Businesses
audio1-116.wav,دائماً
audio1-117.wav,نقدر نقول عنهم شنو ؟ انه اهما organizations اوكيه؟
audio1-118.wav,فكل الـ Businesses يعتبرون شنو ؟ منظمات
audio1-119.wav,لكن مو كل المنظمات تعتبر Business يعني
audio1-120.wav,الجمعية الخيرية
audio1-121.wav,ما اقدر اطلق عليها ان هي شنو ؟
audio1-122.wav,Business لان هدفها
audio1-123.wav,مو انه هي تحقق ربح لا هدفها غير ربحي
audio1-124.wav,فـ أنا ما اقدر اجي اقول عن الجمعية الخيرية انه هي Business او مستشفى السلمانية ما اقدر اقول عنه Business  لان هم ما ياخذون عليي فلوس
audio1-125.wav,اهما يعتبرون منظمة غير ربحية وبس اقدر اطلق عليهم انهما منظمة
audio1-126.wav,لكن
audio1-127.wav,كل الـ Businesses اقدر اطلق عليهم انهما شنو ؟ منظمات واطلق عليهم Business
audio1-128.wav,اوكيه؟
audio1-129.wav,انزين فـ احنا بجذي خلصنا من الهدف الاول عرفنا شنو اهيا الـ organizations
audio1-130.wav,وعرفنا انه في الـ organization عندنا نوعين
audio1-131.wav,profit oriented و  Non-profit oriented
audio1-132.wav,اوكيه؟
audio1-133.wav,وحطوا بالكم على هي العبارة
audio1-134.wav,افهموها زين
audio1-135.wav,ااا لانه ممكن تجيكم كـ true and false
audio1-136.wav,قلنا انه كل الـ Businesses يعتبرون شنو ؟ منظمات
audio1-137.wav,بس مو كل المنظمات تعتبر Business اوكيه ؟ الجمعية الخيرية ما اقدر اقول عنها Business هدفهم مو ربحي
audio1-138.wav,الـ Businesses
audio1-139.wav,هدفهم انهما شنو في النهاية ؟ يحققون profit
audio1-140.wav,هذا تعريفه
audio1-141.wav,اوكيه؟
audio1-142.wav,ف الحين ننتقل الى الهدف الثاني
audio1-143.wav,الي اهوا شنو ؟ الـ Organizational
audio1-144.wav,resources
audio1-145.wav,انزين
audio1-146.wav,الموارد التنظيمية
audio1-147.wav,عندنا اربع موارد
audio1-148.wav,ااا تنظيمية او موارد المنظمات خنقول اوكيه؟
audio1-149.wav,عندكم اول شي الـ human
audio1-150.wav,-
audio1-151.wav,و ثالث شي الـ information
audio1-152.wav,والرابع اهوا الـ physical
audio1-153.wav,انزين
audio1-154.wav,فـ نجي الى الموارد البشرية
audio1-155.wav,الموارد البشرية المقصود فيها الـ people
audio1-156.wav,الـ skills الـ experience
audio1-157.wav,شنو معناته هالكلام ؟ موارد المنظمات
audio1-158.wav,هي
audio1-159.wav,الاشياء الي لازم تكون موجودة في كل منظمة يعني اني ما يصير يكون عندي شركة
audio1-160.wav,ومافيها human مافيها ناس
audio1-161.wav,ومافيها رأس مال اصلا
audio1-162.wav,ماعندي رأس مال وما عندي معلومات وما عندي اشياء physical  لازم كل هالاشياء تكون موجودة في الـ Organization
audio1-163.wav,فـ هذي اهيا شنو؟ الموارد اوكيه الموارد الي احتاجها اصلا
audio1-164.wav,عشان يكون عندي منظمة
audio1-165.wav,فـ أكيد بحتاج الـ human بحتاج انه يكون عندي ناس انزين فـ people and there skills and experience اوكيه؟
audio1-166.wav,وبعد بحتاج انه يكون عندي financial الي اهوا الـ Financial Capital
audio1-167.wav,"الـ fans , money , cash , bank account"
audio1-168.wav,اي شي يخص الفلوس
audio1-169.wav,اني بحتاج انه يكون عندي فلوس
audio1-170.wav,عشان اصلا اسوي هي الشركة اوكيه
audio1-171.wav,فـ اهني مثلا اني اعتبر شنو
audio1-172.wav,human خل نكتب زهره
audio1-173.wav,-
audio1-174.wav,وقاعده اهني اشرح ليكم فـ اني اعتبر شنو human الي عندي
audio1-175.wav,الـ skills and experience اوكيه
audio1-176.wav,-
audio1-177.wav,انجي الحين الى الـ information
audio1-178.wav,اهني هذا قلنا اي شي يخص الفلوس
audio1-179.wav,-
audio1-180.wav,اي شي يخص الفلوس بنحطه في الـ financial
audio1-181.wav,انزين بعد
audio1-182.wav,الـ information هي الـ Data
audio1-183.wav,-
audio1-184.wav,-
audio1-185.wav,سلايدات الدكتور
audio1-186.wav,انزين عشان اعطيكم الـ information الصح اوكيه
audio1-187.wav,الاشياء الـ physical اهيا الاشياء المادية والحسيه اوكيه
audio1-188.wav,يعني مثلا اني احتاج الى computers الى iPad عشان اشرح
audio1-189.wav,انزين raw materials
audio1-190.wav,machines
audio1-191.wav,هاي الاشياء الي لازم تكون موجودة في المنظمة عشان الناس تشتغل عليها بعد اشلون بيشتغلون لازم يكون فيه computers و raw materials عشان يشتغلون فهذي اهيا الي نسميها شنو الـ Organizational resources
audio1-192.wav,لازم يكون فيه
audio1-193.wav,human\
audio1-194.wav,و financial و information و physical
audio1-195.wav,انزين فـ احنا جذي خلصنا من الهدف الثاني عرفنا اهما شنو الـ Organizational resources
audio1-196.wav,فيه اربعة اشياء
audio1-197.wav,human
audio1-198.wav,و financial و information و physical  اوكيه
audio1-199.wav,انزين الحين ننتقل الى الهدف الثالث وبنعرف شنو اهما شنو
audio1-200.wav,الـ mangament task
audio1-201.wav,شنو اهيا مهام الادارة او المهام الادارية
audio1-202.wav,انزين
audio1-203.wav,اول شي خلنا نعرف شنو اهوا الـ manager شنو اهوا المدير
audio1-204.wav,شنو تعريفه
audio1-205.wav,المدير اوكيه
