audio,transcript,duration_s
clips/chunk_0311.mp3,أو ال organizing sorry,1.5
clips/chunk_0312.mp3,التعريف ثاني,1.0
clips/chunk_0313.mp3,اللي هو شنو؟,0.9
clips/chunk_0314.mp3,ال organizational structure الهيكل التنظيمي,3.2
clips/chunk_0315.mp3,الهيكل التنظيمي,1.5
clips/chunk_0316.mp3,hot,0.3
clips/chunk_0317.mp3,تقريبا صير النفس الشي يعني,1.9
clips/chunk_0318.mp3,قلّكو احنا بس ان هو شنو؟,1.9
clips/chunk_0319.mp3,formal system,1.3
clips/chunk_0320.mp3,of task and reporting relationship,2.7
clips/chunk_0321.mp3,that coordinates and motivates,2.3
clips/chunk_0322.mp3,organizational member,1.5
clips/chunk_0323.mp3,so that they work together,2.0
clips/chunk_0324.mp3,to achieve organizational goals,1.8
clips/chunk_0325.mp3,and zine,0.5
clips/chunk_0326.mp3,فنفس ما قلنا,1.4
clips/chunk_0327.mp3,مساعة,0.8
clips/chunk_0328.mp3,إن هذا الموظف,1.7
clips/chunk_0329.mp3,في فوق ال supervisor,1.6
clips/chunk_0330.mp3,زين فهو لما يشتغل وخلص شغله,2.5
clips/chunk_0331.mp3,هذا,0.6
clips/chunk_0332.mp3,بيشرف عليه,0.9
clips/chunk_0333.mp3,وهذا بعرفي شخص يشرف عليه,2.0
clips/chunk_0334.mp3,وهذا بعر في شخص يشرف عليه,2.4
clips/chunk_0335.mp3,okay,0.6
clips/chunk_0336.mp3,ف ..,0.5
clips/chunk_0337.mp3,هذا ال system نسميه شنو؟,2.4
clips/chunk_0338.mp3,organizational structure,2.1
clips/chunk_0339.mp3,okay,0.5
clips/chunk_0340.mp3,ف,0.5
clips/chunk_0341.mp3,ه system,1.0
clips/chunk_0342.mp3,that show task,1.7
clips/chunk_0343.mp3,and reporting relationship,2.0
clips/chunk_0344.mp3,to achieve what?,1.1
clips/chunk_0345.mp3,organizational goals,1.5
clips/chunk_0346.mp3,okay,0.5
clips/chunk_0347.mp3,الهيكل التنظيمي هو system,2.3
clips/chunk_0348.mp3,عبارة عن system,1.3
clips/chunk_0349.mp3,كل واحد بيعرف شنو؟,1.6
clips/chunk_0350.mp3,هي وظيفته,1.6
clips/chunk_0351.mp3,و الى من راح يسوي,1.6
clips/chunk_0352.mp3,report أو,1.6
clips/chunk_0353.mp3,من اللي راح يشرف عليه؟,1.4
clips/chunk_0354.mp3,فهذه الطريقة بس كل واحد ان,2.6
clips/chunk_0355.mp3,بيعرف,0.8
clips/chunk_0356.mp3,شنو؟,0.6
clips/chunk_0357.mp3,وظيفته,0.9
clips/chunk_0358.mp3,ومن اللي راح يكون مسئول؟,1.8
clips/chunk_0359.mp3,علي,0.4
clips/chunk_0360.mp3,okitha,1.1
clips/chunk_0361.mp3,يقولك من ال organizing بساعد إنه,2.7
clips/chunk_0362.mp3,يكون في تحفيظ,2.3
clips/chunk_0363.mp3,وإن,0.8
clips/chunk_0364.mp3,ال,0.8
clips/chunk_0365.mp3,teamwork,0.9
clips/chunk_0366.mp3,بيكون فيه,0.9
clips/chunk_0367.mp3,فكل الأعضاء,1.4
clips/chunk_0368.mp3,أو كل ال employees رح يتفاعلون ويبعض,3.8
clips/chunk_0369.mp3,عبر شنو ال organizational structure؟,2.7
clips/chunk_0370.mp3,زين اما الحين بالنسبة الى,2.3
clips/chunk_0371.mp3,الث مهمة,1.3
clips/chunk_0372.mp3,من المهام الإدارية اللي احمل management task,3.3
clips/chunk_0373.mp3,أهي شنو؟,0.9
clips/chunk_0374.mp3,leading القيادة,1.5
clips/chunk_0375.mp3,and see,0.4
clips/chunk_0376.mp3,leading as,1.1
clips/chunk_0377.mp3,articulating a clear vision and energizing,3.6
clips/chunk_0378.mp3,and enabling organizational member,2.6
clips/chunk_0379.mp3,so they understand,1.6
clips/chunk_0380.mp3,the part they play in achieving organizational goals,3.3
clips/chunk_0381.mp3,فالقيادة هي شنو؟,1.9
clips/chunk_0382.mp3,هي عبارة عن صياغة,1.7
clips/chunk_0383.mp3,رؤية,0.7
clips/chunk_0384.mp3,vision,0.6
clips/chunk_0385.mp3,clear vision,0.8
clips/chunk_0386.mp3,okay,0.5
clips/chunk_0387.mp3,رؤية واضحة للمنظمة,2.0
clips/chunk_0388.mp3,وتحفيز الموظفين,1.6
clips/chunk_0389.mp3,ومساعدتهم في إنهم شنو يفهمون دورهم وأهميتهم,3.8
clips/chunk_0390.mp3,في تحقيق أهداف المنظمة,2.1
clips/chunk_0391.mp3,فأنا إذا قاعدة أشتغل في شركة,2.2
clips/chunk_0392.mp3,حسيت إنه ما مني فائدة، أنا أصلاً بتملل,3.4
clips/chunk_0393.mp3,وبتلوع chipdy وبقول انا اصلا,2.0
clips/chunk_0394.mp3,شنو؟ ما مني فايدة,1.2
clips/chunk_0395.mp3,فاني ما قاعدة أفهم دوري,1.6
clips/chunk_0396.mp3,فلازم يكون فيه,1.5
clips/chunk_0397.mp3,قيادة لازم من المهام الإدارية,2.5
clips/chunk_0398.mp3,إن همجون فهمون الموظفين,2.7
clips/chunk_0399.mp3,إنهم مهمين,1.8
clips/chunk_0400.mp3,وإن احنا ما نقدر بدونهم,2.1
clips/chunk_0401.mp3,و نقدّرهم,1.2
clips/chunk_0402.mp3,عشان الموظفين يتحفزون,2.1
clips/chunk_0403.mp3,ويعطوهم أفضل ما عندهم,1.7
clips/chunk_0404.mp3,عشان في النهاية شنو؟,1.6
clips/chunk_0405.mp3,نحقق أهداف المنظمة,1.9
clips/chunk_0406.mp3,okay,0.7
clips/chunk_0407.mp3,وها يقولكم عناصر القيادة إنه لازم يكون فيه vision,3.7
clips/chunk_0408.mp3,o power,1.0
clips/chunk_0409.mp3,influence,1.0
clips/chunk_0410.mp3,o motivate,0.8
clips/chunk_0411.mp3,okay,0.6
clips/chunk_0412.mp3,فلازم يكون في تحفيظ لازم,2.0
clips/chunk_0413.mp3,القائد,1.2
clips/chunk_0414.mp3,يكون,0.6
clips/chunk_0415.mp3,إن يقدر عند هذه القوة,3.2
clips/chunk_0416.mp3,والتأثير,1.4
clips/chunk_0417.mp3,فإنه يحفز الموظفين,1.8
clips/chunk_0418.mp3,okay,0.7
clips/chunk_0419.mp3,نزين طبعا تحت ال leading,2.3
clips/chunk_0420.mp3,نفس ما قلنا إن لازم يكون فيه شنو clear vision,3.2
clips/chunk_0421.mp3,لازم يكون في رؤية واضحة,2.1
clips/chunk_0422.mp3,زين شنه هي الرؤية؟,1.5
clips/chunk_0423.mp3,زين,0.6
clips/chunk_0424.mp3,الرؤية هي,1.2
clips/chunk_0425.mp3,an organization at,1.4
clips/chunk_0426.mp3,an organization vision,2.2
clips/chunk_0427.mp3,is a short,1.1
clips/chunk_0428.mp3,and sixteenth,1.5
clips/chunk_0429.mp3,I think,0.6
clips/chunk_0430.mp3,اللي هي مختصرة,1.3
clips/chunk_0431.mp3,six cents,0.7
clips/chunk_0432.mp3,كسينت المهم,1.0
clips/chunk_0433.mp3,and,0.5
clips/chunk_0434.mp3,and inspiring,1.5
clips/chunk_0435.mp3,statement,1.0
clips/chunk_0436.mp3,of the organization future states,2.5
clips/chunk_0437.mp3,فع,0.4
clips/chunk_0438.mp3,ال vision,0.8
clips/chunk_0439.mp3,الرؤية هي شنو؟,1.3
clips/chunk_0440.mp3,هي عبارة,1.1
clips/chunk_0441.mp3,قصيرة ومختصرة,1.9
clips/chunk_0442.mp3,بس في نفس الوقت تكون شنو؟,1.9
clips/chunk_0443.mp3,inspiring تكون ملهمة,2.0
clips/chunk_0444.mp3,انزل؟,0.7
clips/chunk_0445.mp3,وتعبر عن,1.1
clips/chunk_0446.mp3,ال future state اتعبر عن الوضع المستقبلي,3.1
clips/chunk_0447.mp3,اللي المنظمة تطمح إن هي توصل إليه على المدى البعيد,3.5
clips/chunk_0448.mp3,fer,0.6
clips/chunk_0449.mp3,هذه example الى,1.5
clips/chunk_0450.mp3,Bob Covision,1.7
clips/chunk_0451.mp3,لهست,0.8
clips/chunk_0452.mp3,striving,1.2
clips/chunk_0453.mp3,or excellence,0.9
clips/chunk_0454.mp3,فاستعينا حو التمييز,2.0
clips/chunk_0455.mp3,هذه رأيت او؟,2.0
clips/chunk_0456.mp3,إيه ال vision مولت بابكا؟,1.9
clips/chunk_0457.mp3,قه؟,0.5
clips/chunk_0458.mp3,نفس ما تلاحظون إن هي شنو؟,1.9
clips/chunk_0459.mp3,مختصرة,0.9
clips/chunk_0460.mp3,وقصيرة,0.9
clips/chunk_0461.mp3,وتعبر عن الوضع المستقبلي,2.1
clips/chunk_0462.mp3,إنهم يسعون نحو,1.3
clips/chunk_0463.mp3,التمييز,0.9
clips/chunk_0464.mp3,فلو مثلا جاب عليكم,1.8
clips/chunk_0465.mp3,الدوائر في الامتحان,1.6
clips/chunk_0466.mp3,قال عليكم اي وحدة ال vision,1.7
clips/chunk_0467.mp3,فراح تختارون شنو العبارة المختصرة,3.1
clips/chunk_0468.mp3,والقصيرة؟,1.0
clips/chunk_0469.mp3,و اللي اتعبر عن؟,1.3
clips/chunk_0470.mp3,الوضع المستقبلي للشركة,2.0
clips/chunk_0471.mp3,okay,0.6
clips/chunk_0472.mp3,نزين الحين نجي إلى,1.8
clips/chunk_0473.mp3,آخر خطوة,1.4
clips/chunk_0474.mp3,من؟,0.5
clips/chunk_0475.mp3,أو آخر مهمة من المهم,1.8
clips/chunk_0476.mp3,من المهمات الإدارية,2.0
clips/chunk_0477.mp3,زين اللي هي ال controlling,1.7
clips/chunk_0478.mp3,لو تلاحظون,1.0
clips/chunk_0479.mp3,أن كل وحدة,1.8
clips/chunk_0480.mp3,من المهام الإدارية في تحتها شغلة,2.5
clips/chunk_0481.mp3,شفو خلصنا حين حنا planning,1.8
